Name	Assembly ID	Archaeal_Kingdom	Taxonomy	Completeness	Contamination	Park Quality_Score	Bioproject	Biosample	Environment_Category-ArchaeaHQ	Metagenome_source	geo_loc_name	lat_lon	Isolation_Source	Env_Broad	Env_Local	Env_medium	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	rRNA	tRNA
GCA_937889175.1_ERR1022687_bin.29_CONCOCT_v1.1_MAG_genomic	GCA_937889175.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;environmental samples;uncultured Methanobacterium sp.	90.03	4.14	71.12256109	PRJEB52028	SAMEA14037565	Terrestrial_Soil	N/A	USA	0	soil metagenome	Environmental	Terrestrial	Soil	0.79	3847	193.3614362	2753146	0.32	3760	4	91
GCA_054779735.1_ASM5477973v1_genomic	GCA_054779735.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Haloparvum;Haloparvum alkalitolerans	99.82	2.23	91.46581942	PRJDB10510	SAMD00809561	Marine_Water_Column	N/A	Philippines	0	Commercial salt made from seawater	0	0	0	0.84	390516	296.9662228	3261069	0.68	3079	14	89
GCA_013401515.1_ASM1340151v1_genomic	GCA_013401515.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloferacaceae;Halorarum;Halorarum halophilum	99.85	2.29	91.68284217	PRJNA638228	SAMN15183765	Hypersaline_Salt	N/A	China: Tibet Autonomous Region	0	sediment in salt lake	0	0	0	0.843	3678615	280.516888	4277959	0.67	4293	4	83
GCA_902774705.1_Rumen_uncultured_genome_RUG11996_genomic	GCA_902774705.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;environmental samples;uncultured Methanobrevibacter sp.	95.56	6.84	63.57192591	PRJEB31266	SAMEA6150131	Animal_Host_Associated	N/A	United Kingdom	0	cattle rumen	Bos taurus	stomach	bodily fluid	0.882	26537	287.6884036	3173759	0.32	3251	3	82
GCA_900313755.1_Rumen_uncultured_genome_RUG833_genomic	GCA_900313755.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;environmental samples;uncultured Methanobrevibacter sp.	78.74	3.82	61.91092062	PRJEB21624	SAMEA104666901	Unknown	N/A	0	0	0	0	0	0	0.885	34821	262.532235	2477776	0.34	2792	1	82
GCA_004765795.1_ASM476579v1_genomic	GCA_004765795.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haladaptataceae;Halorussus;Halorussus marinus	99.97	0.29	101.3015257	PRJNA514410	SAMN10724292	Unknown	N/A	"China:Lianyungang, Jiangsu Province"	0	0	0	0	0	0.88	365638	290.1325459	3763720	0.67	3810	6	81
GCA_905478115.1_0.2_20180319_Bin_MAXBIN_052_sub_genomic	GCA_905478115.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales;Candidatus Thalassarchaeaceae;unclassified Candidatus Thalassarchaeaceae;Candidatus Thalassarchaeaceae archaeon	93.86	9.18	50.04373251	PRJEB38290	SAMEA8498396	Marine_Water_Column	N/A	North Sea	0	sea water	marine biome [ENVO:00000447]	microbial feature [ENVO:00002150]	coastal sea water [ENVO:00002150]	0.942	14705	267.2616874	3063507	0.38	3615	4	80
GCA_023008585.1_ASM2300858v1_genomic	GCA_023008585.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Natrialbaceae;Natribaculum;Natribaculum breve	100	0.95	98.51169457	PRJNA824286	SAMN27400664	Terrestrial_Soil	N/A	China: Xinjiang	0	saline soil	0	0	0	0.843	3337253	280.8766621	4352512	0.64	4362	13	79
GCA_028747785.1_ASM2874778v1_genomic	GCA_028747785.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halosimplex;Halosimplex aquaticum	99.97	9.25	57.06171922	PRJNA932174	SAMN33179401	Hypersaline_Salt	N/A	China: Xizang	0	solar salterns	0	0	0	0.857	4824346	292.6882061	5163082	0.67	5045	4	79
GCA_042663745.1_ASM4266374v1_genomic	GCA_042663745.1	Methanobacteriati-Euryarchaeota	root;cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales;Haloarculaceae;Halosimplex;Halosimplex aquaticum	70.4	4.77	49.89154843	PRJNA595761	SAMN43283176	Unknown	N/A	missing	0	missing	0	0	0	0.799	4820553	225.6430913	5387718	0.66	6405	12	78
