Assembly ID	Archaeal_Kingdom	Evaluated_on	Decision	Reason	Run
GCF_020885915.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_023167465.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_902158755.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	quality (completeness<70 or contamination>10)	ArchaeaHQ_v1.0_build
GCA_902158755.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	quality (completeness<70 or contamination>10)	ArchaeaHQ_v1.0_build
GCA_905067525.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	quality (completeness<70 or contamination>10)	ArchaeaHQ_v1.0_build
GCF_905067525.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	quality (completeness<70 or contamination>10)	ArchaeaHQ_v1.0_build
GCA_945645595.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_945645595.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_945650115.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_945650115.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_945933675.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_945933675.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_946000995.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_946000995.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_945982695.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_945982695.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_958425675.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_958425675.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_959604805.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_959604805.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_964305745.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_964305745.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_964305795.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_964305795.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_964305975.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_964305975.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_001282785.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_975955805.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_975955805.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_036626455.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_036625805.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_036625805.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_037414695.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_037414695.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_051877175.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_049721885.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_049720995.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCA_049719835.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_049719835.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
GCF_049719305.1	Methanobacteriati-Euryarchaeota	2025-02	Do_not_add	redundant (identical or same species as a retained genome)	ArchaeaHQ_v1.0_build
